name	length	8Cell_SRR17972758_Rep1_R1	8Cell_SRR17972759_Rep2_R1	8Cell_SRR17972760_Rep3_R1	8Cell_SRR17972761_Rep4_R1	8Cell_SRR17972762_Rep5_R1	8Cell_SRR17972763_Rep6_R1	8Cell_SRR17972764_Rep7_R1	8Cell_SRR17972765_Rep8_R1	8Cell_SRR17972820_Rep9_R1	8Cell_SRR17972821_Rep10_R1	8Cell_SRR17972822_Rep11_R1	8Cell_SRR17972832_Rep12_R1	8Cell_SRR17972833_Rep13_R1	8Cell_SRR17972834_Rep14_R1	8Cell_SRR17972835_Rep15_R1	8Cell_SRR17972836_Rep16_R1	8Cell_SRR17972837_Rep17_R1	8Cell_SRR17972838_Rep18_R1	8Cell_SRR17972839_Rep19_R1	8Cell_SRR17972840_Rep20_R1	8Cell_SRR17972841_Rep21_R1	8Cell_SRR17972842_Rep22_R1	8Cell_SRR17972843_Rep23_R1
COQ2	1551	0	0	82	0	219	0	4	256	84	54	177	226	65	109	0	7	0	59	2	32	234	1	13
COQ3	1295	903	460	661	1	150	0	0	0	2623	3562	3292	11	1	83	199	97	306	310	199	312	1	378	734
COQ4	2190	3032	801	3372	956	2652	2892	1085	2238	252	97	210	2589	2748	1515	2554	677	1063	795	1685	807	577	949	1503
COQ5	1617	583	917	472	0	159	22	150	146	378	359	476	181	403	126	6	85	49	241	338	221	70	136	0
COQ6	1803	360	1	645	94	0	399	18	0	307	286	546	225	299	753	608	332	186	352	390	348	653	208	0
COQ7	1131	559	391	703	754	243	0	287	353	655	702	710	0	28	300	0	108	121	115	430	703	184	185	558
COQ8A	2954	3	1161	571	1053	0	0	71	0	31	19	24	1145	571	2565	145	3410	398	2478	1360	413	301	601	135
COQ8B	2181	1420	676	616	1	1202	921	1282	0	14	5	31	1107	2676	509	963	957	1122	922	1759	0	8	158	779
COQ9	1603	0	1	105	0	1	21	0	0	110	103	277	395	0	299	22	177	0	8	198	312	0	6	0
CORIN	5439	0	0	0	0	0	0	8	0	42	134	443	0	0	0	0	0	0	0	0	0	0	453	0
CORO1A	1720	0	0	0	0	0	0	2	0	1	10	7	0	0	0	0	0	219	0	0	1	0	0	0
CORO1B	1899	464	0	1058	1	94	172	1147	657	66	67	227	444	411	2	1	160	429	112	858	0	278	50	1
CORO1C	2348	1127	0	540	783	69	4	582	1	682	658	1118	15	0	4	136	1	60	8	11	542	132	659	167
CORO2A	4679	598	0	395	0	68	0	243	0	69	43	27	198	31	408	124	359	243	697	145	18	4	13	0
CORO2B	4021	0	0	0	0	0	0	11	0	4	11	9	0	208	140	477	185	0	446	0	180	1	208	0
CORO6	3533	1831	2882	3013	2113	4026	1445	3450	1213	67	31	34	5361	2766	7834	3042	6091	3304	6379	8144	2441	998	2335	141
CORO7	3758	537	0	1	0	0	0	0	308	11	2	11	142	1	21	0	27	0	132	309	0	189	0	2
CORT	527	0	0	0	0	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	103	0
COTL1	2128	861	1109	1608	1945	1045	865	797	2159	97	110	50	606	396	498	1056	408	1769	845	2349	346	1230	61	0
COX10	2847	498	0	347	0	725	1	191	11	104	83	54	49	0	0	3	64	1	35	308	921	0	0	5
COX11	1077	807	549	188	2	310	0	0	0	315	418	415	0	0	0	0	2	42	0	1	103	0	0	0
COX1	1545	15115	30524	16524	15115	6636	10330	9267	12824	110361	122293	137570	7416	9909	13645	12427	14062	11381	13182	34523	14287	16658	22972	20657
COX14	1011	3475	3166	6121	6131	4802	4315	4285	2477	3345	4021	3140	3693	3876	2841	2012	1638	916	870	2431	2540	3036	2543	923
COX15	3908	0	7	0	0	0	0	0	0	95	121	298	0	0	770	0	161	0	137	0	0	211	1	0
COX16	995	124	113	127	68	42	322	31	41	688	657	523	69	2	1	0	10	27	29	12	56	93	23	219
COX17	438	927	61	375	755	598	736	385	903	949	1135	477	194	565	130	106	91	47	30	171	182	579	225	95
COX18	726	0	101	103	155	26	1	175	0	76	82	72	0	0	132	123	92	0	3	158	0	0	0	1
COX19	3944	923	1200	1212	1141	792	170	1276	1	222	232	176	462	395	1391	735	765	450	592	1110	493	815	174	403
COX20	1379	0	70	9	0	0	0	0	0	3	0	0	0	11	0	15	7	0	1	0	0	7	0	0
COX2	684	2666	10608	2934	6654	1260	3211	1644	4276	26103	30144	26028	1420	4195	1303	2650	2050	4630	1210	13429	7522	14033	10456	12302
COX3	781	23010	53836	14875	24828	14381	21694	8961	19585	89441	97039	67595	6919	21041	9121	14905	11884	20252	11003	63839	45776	64572	41637	61526
COX4I1	1135	11277	4077	14933	7748	11478	5037	9940	2551	3647	3934	5057	5485	3093	3714	1877	1981	1836	2044	2353	3588	2436	6709	1034
COX4I2	775	0	0	0	0	0	0	207	0	4	3	1	0	0	10	50	33	0	0	0	4	0	0	0
COX5A	828	4723	1686	4749	2432	2174	2298	2592	472	6321	6294	6320	1524	1064	1142	541	545	615	543	693	742	1092	1675	789
COX5B	469	6569	4612	7665	6119	8161	7566	7065	6273	4907	5012	6071	4714	3869	2967	2281	1809	1804	1248	2651	2689	2526	1134	1609
COX6A1	552	5395	5667	8553	11504	7500	7198	8806	7062	6822	8656	8210	6215	5736	3687	1749	1850	1585	1148	2400	3239	3169	1320	1796
COX6A2	409	0	0	14	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	30	0	0	0	0
COX6B1	569	15376	9701	17922	15963	20056	15363	13084	11552	5984	9058	5696	9461	9255	3925	3362	2208	3111	1550	5053	6922	10929	9630	6916
COX6B2	650	0	0	6	0	4	76	102	75	8	3	0	1	79	39	0	15	33	17	91	18	85	84	74
COX7A1	370	170	95	124	236	303	137	342	209	166	108	204	239	290	204	82	62	196	59	390	194	250	369	0
COX7A2	475	9835	4965	10681	7703	7138	8658	6774	3426	7212	9023	4979	2906	3781	1234	2915	759	1516	401	1602	1714	2026	1326	1428
COX7A2L	1170	725	1864	934	460	1017	977	678	2016	2624	2154	2063	1352	403	1091	604	441	549	757	1253	1795	789	955	1420
COX7B	1255	812	1101	1226	696	804	651	350	767	4109	5394	2936	325	240	151	197	229	177	54	119	149	160	437	150
COX7B2	558	1	34	172	0	0	0	61	0	191	247	138	164	0	0	0	5	0	1	0	0	0	0	0
COX7C	450	2565	2381	4331	4123	3063	3568	2236	2616	6102	7225	4705	1457	1904	1219	1439	520	674	92	594	709	440	721	442
COX8A	503	7371	4506	11610	8713	9476	9435	9737	3772	3985	4864	3839	5925	7119	3423	3044	1750	1984	844	2705	2006	2579	3556	2092
COX8B	282	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP	4364	0	0	0	0	0	0	0	0	5	3	11	0	0	0	0	0	0	0	0	236	0	0	0
CPA1	1362	1	0	207	0	0	1	0	0	3	1	1	532	0	382	0	95	234	55	343	75	0	0	0
CPA3	1695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPA5	3254	0	0	234	176	166	16	1	0	17	10	10	180	0	108	63	564	189	449	206	169	0	140	2
CPA6	1886	35	0	15	0	0	0	0	121	115	99	40	52	0	37	8	30	0	46	238	56	0	0	0
CPAMD8	6590	196	0	248	13	132	169	296	796	8	26	4	410	820	516	1048	575	750	582	2516	480	568	453	0
CPB1	1450	0	0	0	0	0	0	0	0	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0
CPB2	1556	1	0	0	0	0	0	0	0	2	7	4	0	0	9	36	0	0	3	108	0	0	72	0
CPD	8138	0	0	52	0	297	1	17	78	551	274	1407	0	0	0	0	0	265	0	173	3	2	17	164
CPE	2981	226	296	198	469	245	176	53	851	53	151	85	186	371	166	85	34	105	89	16	74	232	4	334
CPEB1	4390	3165	9827	12345	9685	11625	11751	10930	12881	1318	573	490	25316	24677	35591	25369	48627	36754	38914	51579	14086	8422	8124	3790
CPEB2	7146	376	0	13	0	25	40	123	0	300	354	369	2	40	163	83	78	56	261	92	82	109	139	61
CPEB3	8836	516	0	102	113	84	120	471	0	188	142	77	555	0	168	9	496	378	339	121	162	41	10	18
CPEB4	7408	610	1401	479	574	22	0	916	0	649	519	375	32	185	51	7	22	0	2	24	21	26	74	363
CPED1	5969	328	0	1	0	0	0	0	0	204	184	417	0	0	7	0	0	0	0	0	0	0	0	0
CPLANE1	11570	569	0	2	169	110	0	0	55	400	410	526	0	0	0	113	0	41	3	20	191	0	64	490
CPLANE2	4576	223	0	329	577	892	0	0	566	4	10	10	283	262	648	160	62	208	73	431	0	131	0	1
CPLX1	2321	0	0	0	0	0	0	0	0	2	0	0	0	75	5	61	25	0	50	55	0	85	0	0
CPLX2	5309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CPLX3	1971	0	0	1	0	0	0	0	0	0	1	0	258	0	0	0	0	0	9	0	0	0	0	0
CPLX4	483	0	0	0	0	101	0	7	0	0	0	0	0	0	0	0	0	65	0	107	0	0	0	0
CPM	6280	25	0	16	0	0	0	0	0	232	113	363	34	111	3	1	27	0	29	0	8	89	108	10
CPN1	2025	151	814	147	248	310	0	0	142	48	69	20	181	628	841	225	236	713	908	1064	408	800	13	526
CPN2	2036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPNE1	1894	1238	9	602	0	852	0	1127	247	289	314	375	1135	24	1026	369	860	246	917	988	651	51	163	36
CPNE2	2532	678	0	280	557	2	227	283	0	30	61	92	366	0	168	1	346	0	585	1096	3	245	111	4
CPNE3	4933	119	490	0	0	90	0	0	0	444	250	627	0	0	50	0	0	0	0	40	0	0	0	0
CPNE4	2511	26	0	9	22	0	26	0	0	10	28	27	3	34	0	4	17	11	0	5	0	0	7	0
CPNE5	4191	0	0	0	0	288	0	0	0	4	0	2	0	45	0	1	0	89	55	234	0	232	0	0
CPNE6	2958	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	91	0	0	0	66	0	0	1
CPNE7	2238	0	0	0	0	0	0	0	0	8	4	1	0	0	0	0	61	0	80	442	0	195	0	0
CPNE8	5061	0	776	0	192	145	0	0	7	296	345	351	480	314	246	242	206	247	34	460	266	222	529	0
CPNE9	3202	215	0	6	0	0	56	590	0	84	70	56	805	127	0	0	23	335	139	570	33	0	1	3
CPO	1310	0	0	0	0	0	0	0	0	25	45	2	0	0	0	0	0	0	0	0	0	0	0	0
CPOX	2109	1	0	294	0	525	0	49	0	81	77	86	365	0	236	317	90	0	458	298	210	0	0	0
CPPED1	4059	0	92	48	0	0	0	0	0	2	14	21	0	0	9	0	1	0	86	0	0	93	93	0
CPQ	2784	0	0	173	0	1	0	86	0	9	19	41	53	0	0	0	27	0	24	370	92	0	708	1
CPS1	6220	0	0	0	0	0	0	49	0	26	32	4	0	3	0	0	168	0	0	96	2	0	0	0
CPSF1	4623	2481	2	822	6	296	258	993	601	150	110	123	1490	480	2619	496	424	1335	1600	1223	475	0	787	100
CPSF2	7213	475	36	411	15	20	322	0	155	937	1000	1182	204	1	213	7	20	3	2	3	5	44	349	187
CPSF3	2351	1282	927	449	207	406	168	512	0	2361	1933	2211	79	394	582	193	545	244	135	0	231	152	0	1
CPSF4	1828	816	0	1233	42	1178	1308	1078	0	62	64	75	1037	915	1162	1080	1911	1445	2553	3513	500	1573	861	1432
CPSF4L	1167	0	0	2	0	0	0	0	0	2	1	2	0	0	0	23	15	0	0	0	21	0	0	0
CPSF6	13364	503	1779	608	159	75	177	60	0	1221	1974	1143	287	13	340	1	404	481	199	543	137	239	1148	190
CPSF7	3736	0	0	0	1	0	33	0	181	24	26	18	0	67	42	64	42	68	77	4	1	0	0	0
CPT1A	5576	2189	579	3220	2	1741	1912	2679	409	504	461	293	1519	692	836	1500	1065	647	733	2665	404	157	355	44
CPT1B	3442	0	0	0	0	0	0	0	0	5	7	18	0	0	0	209	58	0	0	73	0	0	0	0
CPT1C	2977	2	679	156	367	113	94	1	196	26	63	43	1063	131	732	59	120	255	708	227	150	662	174	2
CPT2	2987	545	1290	358	0	1471	0	437	66	103	113	232	151	0	30	469	80	1	2	521	0	105	0	0
CPTP	1796	564	78	3406	1215	3922	2130	4709	934	71	89	81	4319	2519	3182	1451	2975	3157	3600	7826	2309	2179	1413	1606
CPVL	2758	12	0	15	0	38	387	0	0	189	183	133	0	0	0	0	0	7	0	5	0	0	0	0
CPXM1	2576	580	0	286	0	0	0	0	0	33	31	88	0	0	0	0	0	43	0	0	0	0	0	0
CPXM2	3623	0	0	0	0	106	0	0	0	6	0	5	0	0	0	0	2	0	0	202	0	0	0	52
CPZ	2084	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
CR2	5317	0	0	0	0	0	0	0	0	27	8	0	0	0	0	0	0	0	0	0	0	0	0	0
CRABP1	928	11639	3326	12257	9981	7825	7780	4853	5293	1375	1987	959	3861	4375	2240	2481	1605	1200	1555	2542	3468	4832	2961	1159
CRABP2	430	2635	1986	4700	1296	2735	1190	2243	1006	2525	1741	4337	1515	986	591	126	329	269	433	1135	1463	1830	236	193
CRACR2A	11305	1	0	0	0	0	0	0	0	1	6	5	0	0	0	0	0	0	0	0	0	0	0	0
CRACR2B	2021	145	0	100	0	0	0	191	0	0	2	0	38	0	33	1	5	0	124	59	0	1	1	129
CRADD	1223	0	44	43	122	0	0	0	0	73	67	124	149	155	0	0	8	9	1	0	0	130	0	0
CRAMP1	7745	53	102	474	1204	945	57	164	358	105	194	82	974	839	680	703	724	105	389	161	40	723	1568	132
CRAT	3142	1426	299	1472	0	777	0	16	0	33	67	62	1257	1012	1536	2115	1772	495	2971	1225	0	232	8	1035
CRB1	4235	363	0	71	0	1	0	0	0	0	3	3	64	0	0	0	631	0	32	0	245	0	1	0
CRB2	6980	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0
CRB3	3497	285	1092	1157	1526	635	966	2983	647	28	22	46	2363	3163	3361	1690	2709	2750	2225	2913	1787	701	480	645
CRBN	1957	310	0	138	0	306	0	0	0	326	267	423	307	4	0	81	250	199	5	47	322	67	0	60
CRCP	3274	1304	1154	805	1	132	524	270	604	1875	2204	1662	77	167	156	4	402	131	245	325	121	293	408	12
CRCT1	734	33	0	40	0	80	40	0	0	17	9	7	33	46	0	0	0	0	0	0	33	71	0	0
CREB1	1073	0	0	180	0	0	0	6	0	148	86	114	0	489	13	0	1	0	1	22	0	0	0	0
CREB3	1660	0	0	68	561	558	0	1044	64	168	195	381	3	0	20	110	0	0	0	45	0	82	0	0
CREB3L1	1763	2	0	16	0	0	166	98	0	4	7	20	57	21	45	0	15	0	76	21	121	12	0	8
CREB3L2	3228	582	0	0	213	11	4	0	0	92	67	233	0	423	29	1	218	0	76	255	0	19	0	105
CREB3L3	1994	0	0	0	0	0	0	0	0	3	4	0	1	0	39	0	2	0	0	1	0	0	0	0
CREB3L4	2955	0	0	228	0	183	0	0	0	15	3	12	115	139	186	194	29	89	66	1008	0	69	0	0
CREB5	9492	818	516	18	0	0	0	20	0	297	210	1002	47	1	118	0	100	12	32	502	88	400	4	1
CREBBP	8585	299	239	393	215	704	839	190	968	386	317	317	1840	1020	1064	299	1541	561	1876	2321	3389	2662	2848	1651
CREBL2	3620	388	882	4	2	14	172	241	100	276	202	130	9	0	7	30	3	104	28	0	122	22	2	0
CREBRF	8630	0	0	11	0	6	8	0	6	625	871	465	5	6	1	87	9	80	0	73	25	9	4	0
CREBZF	4340	6	0	47	0	0	0	0	0	225	175	193	0	0	0	40	1	52	0	0	41	0	0	1
CREG1	2047	0	0	20	0	0	0	47	78	50	58	79	0	11	27	57	96	42	0	0	3	0	64	9
CREG2	6940	2	142	0	0	0	0	0	0	10	9	16	0	0	0	0	0	0	0	0	0	143	0	0
CRELD1	1796	341	58	591	1	1286	0	0	1515	66	65	118	0	444	231	0	131	0	1	724	231	40	1	0
CRELD2	1359	1250	297	3522	3219	1514	1816	3308	1942	159	123	328	1065	1637	1576	1119	2063	1217	734	2489	488	276	61	0
CREM	3871	4	167	0	139	0	0	2	0	95	89	212	2	0	192	0	9	103	106	198	61	161	232	159
CRH	911	398	1	52	78	4	268	530	374	12	9	4	186	272	185	92	87	257	110	339	249	203	56	382
CRHBP	1583	0	0	0	0	0	70	0	0	13	21	13	0	0	50	0	0	0	0	0	0	0	0	0
CRHR1	1248	0	0	0	0	0	17	0	147	1	0	0	0	278	0	0	82	0	0	52	30	0	0	0
CRHR2	2969	0	0	0	0	0	0	0	0	4	2	6	0	0	203	0	0	0	107	241	1	121	0	0
CRIM1	5525	55	0	0	66	0	0	0	0	142	225	190	316	0	85	0	80	252	169	425	132	333	27	3
CRIP1	427	1539	3111	1682	1526	1818	2230	3784	1402	696	347	1818	1655	1345	589	263	194	106	47	48	217	199	306	1
CRIP2	1483	933	0	577	315	882	497	4	332	114	65	198	334	430	254	2	467	464	592	1077	1238	847	7	441
CRIP3	1242	0	0	0	1	0	0	0	311	4	3	3	0	145	0	0	0	0	0	0	0	0	0	0
CRIPT	999	1563	2621	776	94	527	127	8	1253	5564	7072	3913	217	426	142	1	256	201	303	377	621	245	245	176
CRISP1	3003	13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CRISP2	1397	0	0	0	0	0	0	0	0	176	541	137	0	0	0	0	0	0	0	0	0	0	0	0
CRISP3	981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRISPLD1	2908	0	0	0	0	0	0	0	0	7	15	8	0	0	0	0	0	0	0	0	0	0	0	0
CRISPLD2	4025	0	669	605	0	139	699	415	0	79	141	120	598	284	888	653	1558	443	949	2269	375	15	1226	68
CRK	3579	2	326	209	888	390	381	127	468	1042	1172	1193	95	78	398	66	538	58	457	635	293	342	5	55
CRKL	3718	1228	1511	3402	1066	3013	2744	3427	2186	124	105	93	4433	2880	5100	4991	3748	2481	2481	4234	2535	1165	5366	1194
CRLF1	1582	0	0	45	0	0	0	126	0	5	3	2	83	0	14	0	21	0	0	0	0	0	0	0
CRLF3	1832	361	3	69	0	0	0	0	0	562	503	727	403	113	1	43	10	0	100	0	223	0	707	519
CRLS1	2442	347	0	65	375	0	0	1	0	219	275	344	0	0	102	0	49	0	159	1	0	0	0	0
CRMP1	3466	0	0	0	0	0	0	0	0	5	13	75	685	0	10	0	3	0	128	75	33	0	0	0
CRNKL1	2775	370	0	665	89	2	0	22	294	599	403	387	0	39	29	296	152	554	15	65	241	16	1354	353
CRNN	3060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CROCC2	8717	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0
CROCC	6876	0	0	0	26	18	97	1	8	5	5	18	7	45	0	12	7	10	0	13	0	0	0	0
CROT	3119	649	1204	844	301	1033	280	703	744	935	1071	905	135	519	238	319	313	142	186	501	545	117	1185	434
CRP	3882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRTAC1	2440	96	0	119	248	225	0	0	0	3	8	11	0	67	0	120	20	93	149	196	90	11	250	1
CRTAM	2274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRTAP	2330	367	496	533	286	160	153	539	0	207	225	496	84	73	174	30	114	333	176	498	63	40	180	0
CRTC1	7186	0	145	43	1	39	101	16	0	15	7	15	1	7	82	46	62	0	96	46	105	117	5	2
CRTC2	3138	415	53	559	183	226	732	604	485	39	31	15	782	326	1170	653	833	624	1384	1746	1522	1649	642	1111
CRTC3	5437	8	474	634	192	140	119	376	183	89	88	225	375	80	271	0	373	0	11	223	330	458	580	181
CRX	989	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CRY1	4345	733	113	256	446	374	380	1060	398	40	67	102	747	447	146	497	396	380	521	1631	768	1132	395	60
CRY2	2539	35	24	1869	200	1032	121	1706	1138	36	29	24	1443	718	1559	1050	1765	1544	1097	1323	1481	138	220	867
CRYAA	794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
CRYAB	610	2	309	174	0	108	77	192	0	230	116	401	89	0	84	0	131	0	0	77	98	0	0	0
CRYBA1	780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYBA2	696	0	0	191	0	0	0	0	0	1	7	2	2	194	0	0	46	0	155	122	85	0	0	1
CRYBA4	820	0	0	85	0	50	0	0	0	3	8	63	0	0	0	0	0	0	0	0	0	0	0	0
CRYBB1	1180	246	0	565	635	1205	397	272	301	129	130	279	1	201	0	0	65	0	32	0	0	117	429	0
CRYBB2	1806	0	0	149	1	0	413	0	0	0	6	2	0	0	0	141	10	0	13	44	0	67	1	7
CRYBB3	3031	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0
CRYBG1	7929	250	63	145	214	114	8	96	306	242	157	131	235	84	189	59	218	43	293	1144	216	478	1103	166
CRYBG2	6883	226	0	203	1125	325	0	0	312	7	5	10	699	497	763	982	1124	951	343	2021	1029	573	465	1
CRYBG3	10480	76	250	221	0	0	0	0	0	499	689	285	180	48	224	52	171	0	10	75	223	34	103	425
CRYGA	653	0	0	54	0	0	0	0	0	12	1	7	0	0	0	0	0	0	0	0	0	0	0	0
CRYGB	622	102	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGC	618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGD	608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGN	657	0	0	59	0	0	0	0	0	0	3	0	0	0	50	1	0	83	0	267	73	26	66	0
CRYGS	855	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CRYL1	1928	789	1075	767	457	264	497	317	719	54	45	67	30	404	132	2	169	277	157	197	154	529	531	1
CRYM	1318	299	727	428	2	0	417	0	544	355	418	326	676	213	0	0	205	191	445	301	2	0	796	0
CRYZ	2513	1348	1363	263	17	544	0	0	0	2398	2455	2142	1	0	81	0	68	0	155	0	307	68	0	0
CRYZL1	1638	67	709	128	0	13	0	12	0	498	582	721	0	0	4	0	1	0	0	0	3	0	3	0
CS	3025	2430	4909	2567	1785	2970	781	3626	1694	2015	1980	1877	1204	2186	2926	1777	5412	1309	5553	5511	3624	3085	1720	2737
CSAD	3398	37	0	51	0	0	0	66	0	13	20	46	30	0	72	0	58	0	0	321	11	1	0	0
CSDC2	3078	370	17	315	10	433	0	125	0	8	7	22	792	366	482	0	221	167	57	219	189	1	349	0
CSDE1	4357	4908	2150	3419	3089	2882	1215	3096	511	5610	6233	5459	1153	882	2579	835	2891	1845	1592	1039	1620	1535	3161	660
CSE1L	3651	1341	596	540	1932	535	200	39	8	3164	2814	2444	89	42	46	1	376	48	151	621	47	113	130	13
CSF1	4002	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
CSF1R	3821	1	40	237	0	1164	0	2108	0	52	42	39	1305	663	911	286	434	2555	1714	1850	383	1523	22	1046
CSF2	767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSF2RA	4017	0	0	0	0	0	0	0	0	1	2	4	0	0	0	0	0	0	0	41	0	0	0	0
CSF2RB	5430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSF3	2246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSGALNACT1	4047	0	0	5	0	52	0	0	0	12	5	10	214	136	73	0	56	0	15	43	55	87	12	80
CSGALNACT2	5025	0	0	52	0	60	0	29	0	469	411	302	11	25	251	38	20	37	15	63	31	32	48	75
CSH2	1130	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	49	0	0	0	0	0	0	0
CSK	2755	121	179	343	46	91	527	263	575	40	24	29	766	792	766	719	1196	947	933	1254	149	529	924	26
CSKMT	1142	1375	118	900	289	362	71	35	992	88	119	59	415	4	316	361	69	453	207	3	149	218	25	852
CSMD1	14022	64	0	53	0	0	0	0	0	21	7	12	308	141	157	12	274	0	91	104	133	5	343	52
CSMD2	13323	0	655	664	539	398	0	0	0	15	9	3	422	431	1443	66	1119	1065	403	1321	595	300	1	170
CSMD3	1224	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0
CSN1S1	1876	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSN1S2	1119	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSN2	1868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSN3	921	154	0	9	0	0	0	0	0	22	10	2	0	0	0	125	0	0	0	0	0	0	0	0
CSNK1A1	10536	4184	1326	1946	1528	2031	5	516	2488	3620	4311	4366	292	1016	410	397	697	613	516	907	629	360	600	5
CSNK1B	5044	168	0	591	0	0	845	0	0	110	375	288	0	307	0	0	0	290	69	959	0	198	0	0
CSNK1D	4800	653	107	1612	571	893	453	1108	39	216	216	234	1802	547	2321	313	1228	1135	1938	847	1746	1007	1032	2122
CSNK1E	5452	685	1109	814	1	673	241	3421	751	150	77	140	2132	2163	2608	3700	5399	3045	5188	7446	1572	1347	4306	1062
CSNK1G1	8512	51	1338	1037	1645	1491	169	292	16	984	1069	685	1241	410	383	16	51	170	269	475	105	72	840	112
CSNK1G2	2702	1843	849	1153	792	1635	1649	3601	1023	92	84	174	1476	1257	3348	2620	3224	1650	3244	6485	1390	1888	1611	1093
CSNK1G3	4210	1042	1596	219	546	335	715	834	1	1080	827	856	199	221	208	130	106	170	83	394	521	111	590	77
CSNK2A1	4283	1345	1765	1703	830	1195	44	171	363	1665	1470	1570	109	1124	802	359	484	366	305	489	1062	500	1567	461
CSNK2A2	6032	748	759	338	0	319	97	124	425	621	583	542	100	14	141	119	230	82	165	739	515	256	103	644
CSNK2B	1226	3828	2374	6338	3754	4010	3649	6542	5642	3508	2996	3436	5283	6448	5965	5870	5270	4203	5209	19773	10118	8732	4770	2319
CSPG4	8030	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0
CSPG5	5362	120	54	247	0	55	1138	8	0	74	106	37	189	345	361	541	537	615	705	887	1238	270	662	564
CSPP1	4925	258	0	78	647	236	93	175	3	1443	1612	1238	365	48	394	236	196	94	100	78	64	208	393	355
CSRNP1	7703	11	0	889	1	6	0	0	912	38	21	114	855	22	681	482	1005	216	1023	1018	201	41	822	92
CSRNP2	4747	2119	0	3722	1864	3941	295	2291	1794	233	322	349	2947	1316	4323	2538	7848	4680	8776	9685	2969	3296	4774	2121
CSRNP3	14553	0	0	6	0	0	0	0	1	19	0	19	0	0	0	0	0	0	0	0	0	0	0	0
CSRP1	5644	158	308	276	345	207	307	202	0	14	6	24	44	59	29	0	42	80	27	53	25	0	14	0
CSRP2	1141	434	731	1039	839	1016	801	927	146	864	936	4958	1461	323	1144	846	1294	491	1377	2457	2462	846	149	579
CSRP3	902	1197	808	2380	1061	1061	228	1465	1	4770	7493	20639	707	0	389	0	129	0	196	105	0	0	0	0
CST11	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CST3	727	2705	607	3272	1388	1246	1720	2498	1996	810	710	2017	1358	1196	314	538	152	2	70	539	546	726	17	389
CST6	615	443	248	211	134	309	468	160	1	115	84	231	117	553	139	0	18	0	24	196	72	216	399	0
CST7	2492	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
