name	length	Morula_SRR17972742_Rep1_R1	Morula_SRR17972743_Rep1_R1	Morula_SRR17972744_Rep1_R1	Morula_SRR17972745_Rep1_R1	Morula_SRR17972746_Rep1_R1	Morula_SRR17972747_Rep1_R1	Morula_SRR17972748_Rep1_R1	Morula_SRR17972749_Rep1_R1	Morula_SRR17972750_Rep1_R1	Morula_SRR17972751_Rep1_R1	Morula_SRR17972752_Rep1_R1	Morula_SRR17972753_Rep1_R1	Morula_SRR17972754_Rep1_R1	Morula_SRR17972755_Rep1_R1	Morula_SRR17972756_Rep1_R1	Morula_SRR17972757_Rep1_R1	Morula_SRR17972786_Rep1_R1	Morula_SRR17972787_Rep1_R1	Morula_SRR17972788_Rep1_R1	Morula_SRR17972789_Rep1_R1	Morula_SRR17972817_Rep1_R1	Morula_SRR17972818_Rep1_R1	Morula_SRR17972819_Rep1_R1
EBF4	3354	0	0	106	15	0	0	426	0	9	0	2	0	50	15	0	0	0	30	67	0	3	3	3
EBI3	1221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
EBNA1BP2	1224	1569	767	1338	134	505	19	661	390	302	132	530	2	295	275	483	13	2041	590	1634	229	1266	1789	1518
EBP	1128	2103	387	1762	266	580	2	335	3	215	84	637	420	641	707	0	1	1506	510	1268	2029	946	1056	966
EBPL	1078	55	132	111	193	76	183	147	0	31	0	0	0	36	2	128	0	111	139	102	1211	129	100	170
ECD	2191	449	329	131	145	615	58	913	11	167	5	412	1	142	309	450	0	619	168	958	0	1045	1211	1088
ECE1	5195	0	0	0	4	0	0	0	0	0	0	332	0	4	0	1	0	10	0	0	0	0	0	0
ECE2	4100	2610	277	1054	353	1459	246	548	1053	561	173	405	663	261	667	404	337	1183	914	1226	659	214	200	236
ECEL1	3543	0	0	0	1	0	0	0	0	19	0	24	0	0	0	0	0	0	0	0	0	2	2	1
ECH1	937	278	419	75	48	7	0	348	13	0	19	6	0	45	0	0	0	331	298	89	0	43	60	64
ECHDC1	3508	208	522	862	165	279	77	1574	133	107	10	186	1	73	2	91	27	494	112	531	97	691	693	669
ECHDC2	1630	0	329	31	24	5	8	0	0	20	14	29	18	8	5	72	1	196	65	363	0	16	25	23
ECHDC3	9080	4	45	4	17	0	0	83	1	6	0	0	49	0	1	144	2	0	57	21	373	20	59	28
ECHS1	2072	1971	1487	1632	480	1006	7	61	469	608	81	598	1279	639	250	20	3	1251	2207	1296	1569	449	486	509
ECI1	1391	1413	6	544	209	442	34	182	202	440	30	132	670	90	38	15	0	263	583	710	928	76	52	64
ECI2	2203	212	462	339	175	433	12	55	786	331	109	128	177	168	109	2	1	223	603	155	376	75	142	69
ECM1	2159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
ECM2	5240	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	19	15
ECPAS	9371	215	448	35	438	789	140	384	28	190	0	74	19	91	3	6	305	1044	257	681	17	836	994	1173
ECSCR	2421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0
ECSIT	1555	3377	1179	4675	949	6390	1052	2403	1126	3012	536	1510	3192	1351	580	763	20	3293	2333	2957	680	76	194	212
ECT2	4139	146	341	195	235	278	79	12	0	197	14	181	308	92	89	268	24	202	216	348	6	2969	3159	2965
ECT2L	5940	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	11	4	10
EDA2R	1281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	1	2
EDA	5051	119	0	103	15	1	0	112	0	42	2	47	78	10	0	0	0	263	28	81	0	8	30	20
EDAR	3519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EDARADD	1770	12	0	0	16	0	0	0	0	55	92	83	0	55	0	0	0	207	9	0	0	18	27	8
EDC3	4069	1033	425	1056	549	1763	328	173	142	308	107	611	432	418	69	166	8	1830	1282	2207	222	464	595	481
EDC4	4888	1083	89	426	188	14	163	67	0	335	14	16	172	350	109	56	72	330	34	441	2	49	157	148
EDDM13	1066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EDEM1	5781	962	11	1162	152	1246	258	141	2	606	44	440	206	77	10	82	6	384	24	868	339	63	134	79
EDEM2	3659	1467	90	835	257	649	93	29	130	181	0	286	2	433	22	248	6	1030	293	1243	1	132	162	178
EDEM3	6717	47	6	23	58	87	1	14	0	33	3	48	14	13	21	4	0	107	50	148	1412	312	364	315
EDF1	903	4806	4475	5359	2563	5184	2855	2205	3206	1819	665	901	3955	1530	2727	1001	283	3737	6894	4613	5217	944	1101	1437
EDIL3	5026	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	8	10	4
EDN1	2022	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0
EDN2	1577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EDN3	4045	405	21	135	15	1	1	162	0	0	0	18	0	8	0	353	0	0	213	11	0	12	33	28
EDNRA	3202	336	168	334	288	360	350	65	65	405	210	339	299	302	149	135	74	224	197	311	99	239	140	159
EDNRB	3785	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EDRF1	4637	35	1	45	60	329	0	0	0	32	58	125	123	30	16	13	0	233	141	210	0	448	520	483
EEA1	8050	180	224	337	133	100	1	225	2	32	16	109	98	191	24	2	34	1591	137	380	0	1299	1742	1634
EED	2346	289	284	173	258	415	123	362	0	201	198	704	162	119	148	43	37	655	356	513	0	2151	2228	2007
EEF1A1	4842	8876	22778	15086	8676	7331	6336	14276	15275	9425	3855	9095	9314	5903	2482	4419	624	43142	32057	23470	20850	30082	42695	37444
EEF1A2	1935	0	0	0	19	0	12	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0
EEF1AKMT1	3003	1667	849	3057	668	2725	834	66	1477	1153	228	2359	2285	1532	479	77	16	1801	2403	968	729	474	416	525
EEF1AKMT2	2615	102	0	80	87	16	53	20	1	56	11	0	17	25	4	502	0	107	174	105	355	934	917	945
EEF1AKMT3	2201	22	5	0	10	1	35	0	0	295	0	203	0	3	3	148	0	0	31	28	0	14	16	32
EEF1B2	821	3770	3538	3457	1269	1913	794	1773	1667	975	600	890	412	919	1354	655	101	3236	5769	3200	3892	5462	7452	8827
EEF1D	3663	7484	6177	2915	1902	3010	1408	1539	2109	639	293	670	884	557	748	535	161	3658	4934	4854	13282	1352	1554	2279
EEF1E1	1896	469	447	625	172	266	45	384	606	405	152	463	60	137	92	498	19	209	1197	435	387	2098	2123	2321
EEF1G	1419	6316	5347	3209	3568	5131	2214	3049	3772	2829	1254	2163	6024	2173	1140	3069	36	3247	7312	8925	3663	2188	2540	3288
EEF2	3183	4954	5125	5101	2894	5502	1177	2355	3888	2823	815	4619	1148	1420	967	3796	123	8377	7809	8782	3715	1088	1858	1659
EEF2K	5938	1	0	350	0	223	0	0	0	135	0	713	198	398	0	2	0	206	0	0	0	25	13	5
EEF2KMT	2489	632	433	525	134	1073	309	0	433	185	407	1010	509	219	257	7	1	291	338	1113	710	106	110	109
EEFSEC	1995	457	69	316	151	807	151	810	889	917	345	578	1075	270	0	28	7	67	196	1477	3	18	33	75
EEPD1	3105	6	17	31	0	0	0	292	204	372	2	356	0	60	1	0	0	317	159	352	4	5	5	6
EFCAB10	1318	0	0	10	3	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	10	13	16
EFCAB1	1440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFCAB11	4491	82	39	24	28	52	1	11	1	120	126	71	9	19	14	12	0	77	477	59	701	193	188	199
EFCAB13	3757	0	2	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	5	0	29	23	31
EFCAB14	5715	881	424	782	133	2014	201	1056	49	917	99	1459	23	802	24	467	6	400	337	495	331	533	718	752
EFCAB2	2595	35	81	94	22	14	126	167	0	19	33	0	0	26	0	199	0	228	37	80	0	308	291	173
EFCAB3	1738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
EFCAB5	5209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	5	18	0
EFCAB6	5282	0	19	0	5	0	0	0	0	68	28	32	0	3	0	0	0	329	95	166	0	32	19	23
EFCAB7	2233	9	0	0	1	0	0	27	0	4	1	74	45	55	80	0	1	0	0	0	0	360	295	403
EFCAB8	6734	0	0	0	2	0	67	0	1	0	0	0	0	3	0	0	0	0	0	1	0	28	16	27
EFCAB9	1097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFCC1	2981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0
EFEMP1	2216	164	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	25
EFEMP2	2057	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6
EFHB	2765	190	0	159	0	10	0	0	170	87	0	126	5	151	89	43	0	18	60	69	0	71	60	65
EFHC1	2339	248	38	131	0	350	30	443	0	56	0	0	0	5	1	4	0	20	182	0	0	18	36	54
EFHC2	2725	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	30	21	11
EFHD1	1881	444	48	733	68	366	43	460	64	129	1	811	2	460	162	190	0	302	763	344	8	242	232	189
EFHD2	2418	104	424	40	245	53	110	104	364	50	27	47	249	81	127	108	42	14	163	49	809	50	99	132
EFL1	4263	472	4	93	20	1	0	497	1	9	0	17	17	6	0	3	0	289	2	270	0	204	339	286
EFNA1	1545	458	46	298	30	686	124	116	0	521	112	890	224	532	0	215	92	0	111	474	125	146	154	153
EFNA2	1993	0	0	0	0	13	16	0	0	115	0	0	5	1	0	0	0	2	5	11	0	5	6	7
EFNA3	1754	14	1	10	1	2	4	0	0	55	15	41	61	34	0	0	0	1	15	18	0	1	0	0
EFNA4	1311	327	83	349	15	412	159	0	0	176	0	359	362	93	0	0	0	699	97	190	1143	21	33	64
EFNA5	5442	20	0	19	1	0	0	0	443	18	0	1	0	17	6	119	0	62	8	46	0	7	10	3
EFNB1	2511	1	0	256	69	497	0	194	0	182	18	107	22	125	0	1	0	39	0	51	0	0	8	0
EFNB2	4532	0	77	9	34	16	0	22	0	27	1	41	5	0	0	0	0	5	0	174	0	43	90	46
EFNB3	3207	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	10	2	4
EFR3A	3516	299	283	1295	83	195	2	173	57	98	22	119	12	90	1	732	4	1325	188	219	0	480	694	537
EFR3B	6632	1348	102	347	31	378	1	1407	0	270	392	976	2	170	11	1	1	670	59	875	1	20	21	33
EFS	2843	17	2	38	20	0	0	64	0	8	0	46	0	39	4	31	0	14	0	10	0	1	9	5
EFTUD2	3473	772	368	1225	481	1634	94	1116	0	469	30	1260	982	563	147	74	96	4075	986	3031	0	601	882	787
EGF	4410	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	2	0	0	0	12	0	9
EGFL7	1917	157	1	100	5	0	1	190	0	25	62	0	0	1	1	1	0	164	17	86	377	1	5	5
EGFL8	1781	583	269	438	196	507	72	731	623	154	0	36	139	129	64	1	158	343	459	231	1	214	214	159
EGFLAM	4289	0	0	0	5	0	0	0	0	22	3	0	115	0	0	0	0	0	1	33	0	18	46	44
EGFR	10245	646	78	243	231	57	34	598	0	209	71	184	175	29	208	2	17	208	97	686	10	267	402	358
EGLN1	4142	162	434	576	101	431	126	157	7	214	50	230	6	119	265	136	5	124	196	80	0	403	486	550
EGLN2	7303	342	1579	1020	832	1372	311	1256	472	753	405	277	328	331	218	283	80	462	796	1257	3814	172	302	230
EGLN3	2030	108	5	151	64	132	28	19	196	14	0	15	0	46	21	0	0	238	115	105	0	71	97	85
EGR1	2153	401	80	312	159	351	10	142	1072	210	49	223	517	56	59	147	11	212	130	211	84	90	79	93
EGR2	2741	0	0	53	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	2	3	3
EGR3	4045	0	0	0	1	0	24	0	0	10	1	16	3	1	9	22	0	0	10	8	0	9	2	2
EGR4	2525	0	0	1	0	0	107	0	0	4	0	82	0	8	0	0	0	0	0	0	0	1	0	0
EHBP1	5510	162	92	52	19	536	0	11	0	58	14	10	38	65	26	201	3	224	11	123	0	714	986	754
EHBP1L1	5081	0	0	0	28	6	0	0	0	43	24	65	74	35	1	0	0	0	13	0	1058	1	27	9
EHD1	1848	1560	316	734	224	520	116	71	434	254	64	1166	1131	1028	4	345	2	2857	1638	1886	1560	124	303	227
EHD2	3037	101	0	0	16	0	0	0	0	19	0	14	5	0	0	0	0	0	10	0	0	3	16	4
EHD3	3405	32	0	0	73	0	0	0	0	25	0	123	0	0	0	0	0	0	0	71	0	14	14	9
EHD4	2196	584	46	120	111	584	18	39	156	253	20	562	345	178	100	10	5	169	44	340	0	30	88	101
EHF	7620	1	0	0	0	40	10	0	0	44	0	2	63	0	0	0	0	0	0	0	0	38	64	38
EHHADH	4245	0	0	62	0	0	0	5	0	0	0	0	0	0	0	0	0	372	0	22	0	8	11	21
EHMT1	6774	1353	354	823	121	867	59	184	199	67	206	317	153	148	26	631	234	1873	576	1184	0	152	276	321
EHMT2	4218	585	103	174	216	375	47	262	9	165	10	337	266	49	103	15	0	46	136	961	0	120	146	145
EI24	2413	4415	5386	7373	1825	8975	1864	7256	2813	4307	1568	3591	3421	2476	930	1620	859	3390	5336	5930	2032	3306	2678	2629
EID1	1757	153	338	60	147	481	2	387	14	0	55	7	42	49	4	4	1	24	71	59	16	339	403	411
EID2	1494	0	14	0	0	1	0	1	0	0	0	0	0	19	45	0	0	0	0	0	0	30	76	49
EID3	1487	0	11	10	5	0	55	14	0	43	3	5	4	0	1	7	3	0	0	8	1	363	335	197
EIF1	1279	7138	12284	13522	4643	14607	6127	10880	9217	15244	4889	33906	22698	26522	15559	5789	1543	6388	15634	8142	5547	8330	10016	11343
EIF1AD	3427	2317	1677	1392	445	2408	735	1644	47	972	181	1502	2666	1334	709	491	230	455	1140	1494	2483	1320	1272	1192
EIF1AX	696	1762	2376	2772	1182	736	454	1850	1016	757	175	201	56	216	268	841	17	2647	4008	1312	3759	8270	9213	8096
EIF1B	1252	459	492	908	155	806	245	443	765	631	411	1469	689	1034	97	309	101	1313	583	757	1	1203	1592	1446
EIF2A	2529	116	172	256	79	117	11	346	42	23	44	294	61	23	90	55	19	1017	152	523	0	2539	2556	2561
EIF2AK1	2995	1189	163	809	294	1222	28	627	1322	1240	108	1231	590	433	107	723	9	1067	886	1940	260	377	461	469
EIF2AK2	10723	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	14	37	7
EIF2AK3	4655	0	35	0	20	0	0	4	0	0	0	0	0	1	6	0	6	0	0	101	0	54	41	54
EIF2AK4	5247	221	170	122	199	225	15	135	1	259	9	91	0	137	30	18	11	151	160	407	141	654	754	768
EIF2B1	2499	772	555	1039	156	59	4	28	3	355	31	700	20	543	37	117	4	2509	607	931	4147	1272	1024	1117
EIF2B2	1655	8263	2101	4718	1107	4020	1631	2311	1071	1877	1595	4498	3623	2452	761	903	544	6397	6361	7205	48	1659	1647	1643
EIF2B3	1534	698	65	443	300	188	331	20	0	191	29	247	294	249	51	445	30	96	562	398	219	1255	1432	1601
EIF2B4	2344	1008	676	1337	442	705	43	345	288	357	56	749	53	434	48	962	6	1004	901	1121	1958	650	611	760
EIF2B5	2573	165	461	29	388	186	56	0	0	164	1	95	47	74	21	93	9	329	648	325	137	470	765	603
EIF2D	2184	131	397	703	104	678	64	497	27	376	9	554	449	201	36	196	6	1551	709	591	0	320	369	393
EIF2S1	4209	1985	1012	1471	514	225	229	827	300	125	23	340	237	154	293	705	390	2539	289	2079	1	8477	8417	7320
EIF2S2	1420	809	842	1986	706	387	429	2404	508	676	85	349	532	321	866	810	294	1715	701	1116	2474	6468	6038	6253
EIF2S3	1788	346	159	439	150	11	32	499	111	151	32	330	70	88	16	223	71	2781	275	1040	577	3165	4394	3821
EIF3A	4846	957	2200	915	455	23	75	40	10	79	82	392	468	267	308	133	84	569	298	1028	8	5419	7276	6468
EIF3B	3632	1428	1117	920	857	818	375	1129	13	884	107	431	292	307	252	1061	195	1799	1550	1481	791	1370	2321	2148
EIF3CL	2969	1266	4111	1322	2546	1558	933	652	1878	554	199	702	296	389	437	653	145	1847	1207	2385	223	1772	2476	2720
EIF3D	1875	342	1983	135	296	219	40	26	0	53	164	130	7	210	139	573	325	443	644	656	1627	3321	3508	3201
EIF3E	1496	714	981	1135	438	197	44	659	30	343	93	130	237	169	146	105	20	1795	355	1790	57	6394	8129	7081
EIF3F	1375	12172	3975	9406	2127	9923	3171	3005	2552	7348	931	4578	3432	4329	2439	471	700	6289	8362	7378	2166	1282	2431	2235
EIF3G	1120	7337	6546	8413	2653	6895	1960	3770	1821	3236	709	1374	3991	1848	2711	1923	684	3636	6912	6657	8106	4243	5235	5039
EIF3H	1214	1311	161	1021	117	311	52	348	1	331	0	331	65	365	65	987	17	1153	619	1354	126	3105	3864	3190
EIF3I	1458	12513	6267	4642	2374	5182	1822	2795	2211	3625	1578	3252	3386	4007	742	1878	297	11333	12497	18708	6564	3512	3991	3903
EIF3J	2537	133	741	283	304	265	133	762	63	82	103	209	170	257	327	207	34	72	341	143	1631	1871	2213	2476
EIF3K	770	12848	4330	7900	2637	4562	1948	1895	1665	1948	796	1129	2219	2012	1587	1784	568	6882	9837	9255	6995	2014	2525	2406
EIF3L	1933	4373	2406	2948	974	1985	950	1801	2136	2227	189	4308	597	1051	847	1444	341	10748	2983	6936	1080	6025	8255	7408
EIF3M	1310	1352	1922	1453	748	629	1105	1137	1956	838	455	1004	976	566	331	228	62	2877	1324	2425	992	7956	7983	7891
EIF4A1	1753	7004	9476	3646	2362	4765	1866	3039	4649	2142	1726	2135	2825	1896	2348	1182	950	4787	7504	8970	10481	13064	18126	17182
EIF4A2	2335	995	1004	1368	1076	311	415	1679	851	1402	437	1029	1199	432	888	395	203	770	1180	1758	441	9165	11142	9171
EIF4A3	1496	10615	2424	7757	942	5430	1078	2826	2144	4037	751	6642	3811	3596	1043	2041	979	11604	8715	12862	1788	6957	8637	8552
EIF4B	3993	555	2142	1006	634	433	326	284	847	685	157	975	97	488	263	498	370	1987	836	2552	142	2121	2576	2469
EIF4E	1638	2372	1550	3947	378	755	497	3217	7	1708	162	1302	165	526	264	1221	233	2455	788	1150	1	12534	10110	9503
EIF4E1B	1424	2	0	207	37	558	13	234	325	939	3	1382	279	1057	205	15	0	78	4	515	0	14	42	193
EIF4E2	4736	858	646	1447	518	109	237	963	149	677	317	565	352	782	310	314	123	1053	1284	430	270	1033	1212	1376
EIF4E3	3845	0	28	42	23	0	0	0	0	0	8	53	239	1	32	3	0	30	49	0	0	45	34	31
EIF4EBP1	811	2734	2205	2991	1356	6126	1841	2740	1661	1757	528	633	1918	604	2523	1061	37	863	2797	1936	2477	276	391	446
EIF4EBP2	1184	1	74	39	61	282	378	626	1	272	6	90	4	12	7	1	0	183	86	208	0	24	34	60
EIF4EBP3	700	3	0	14	34	24	0	89	0	18	40	0	48	8	50	43	34	48	4	33	288	15	23	33
EIF4ENIF1	3940	38	278	22	294	481	103	155	1270	501	134	1049	418	586	3	151	26	1074	95	765	1	159	171	219
EIF4G1	5587	628	599	253	549	190	66	218	227	407	38	189	102	178	193	157	110	292	381	907	47	643	965	1125
EIF4G2	3659	3963	4677	9134	1502	1483	971	5357	1345	2460	304	1030	499	765	474	2252	155	5876	2427	5341	8518	6986	8180	7534
EIF4G3	6574	102	739	13	161	134	21	107	129	175	63	1	7	175	8	441	9	10	3	292	0	398	539	625
EIF4H	1016	2033	562	2562	213	833	148	1047	20	686	32	538	103	461	16	89	54	1670	971	1795	626	164	196	245
EIF5	4966	6337	6579	7825	2207	3308	1535	3149	1181	3221	333	3356	1312	1739	1710	3371	427	7914	3945	6005	6309	13882	17992	18199
EIF5A	1823	2486	4734	4372	953	3636	829	4638	1810	1538	263	876	1355	898	883	1908	525	1477	3538	3117	11021	2488	2386	3158
EIF5A2	702	10	0	78	2	43	0	0	0	7	0	0	0	1	0	0	6	0	0	59	0	49	78	62
EIF5B	6022	171	522	264	349	99	32	319	32	137	31	75	74	39	196	84	13	275	86	524	0	2652	3298	3270
EIF6	1094	27883	11931	20683	4561	14985	5379	8354	7744	9625	3917	9307	16990	9718	8236	5727	1286	14632	14873	23118	5010	4011	4802	4295
EIPR1	3773	2685	3685	4893	1744	10070	1020	985	609	2987	749	2104	2949	1667	1322	168	11	1651	4931	3899	5881	186	348	302
ELAC1	2301	178	0	69	36	0	25	30	1	14	0	169	0	0	0	0	2	0	32	0	2732	58	67	57
ELAC2	3526	5	521	464	107	246	0	0	1	12	0	117	94	133	0	217	3	499	174	744	1217	79	141	145
ELANE	931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELAVL1	2382	379	38	779	96	147	9	641	628	205	29	428	102	163	102	179	257	284	269	529	0	303	400	415
ELAVL2	3906	1	2	65	176	78	126	27	140	279	1	284	130	691	308	26	35	107	58	39	0	36	82	135
ELAVL3	4859	14	0	0	8	42	0	1	0	35	0	56	17	26	0	27	0	40	17	0	0	8	11	9
ELAVL4	4434	0	0	66	3	3	6	242	0	0	0	9	0	0	0	68	0	0	0	13	0	45	54	55
ELF1	4060	32	0	1	27	36	0	142	0	82	1	76	0	21	1	2	0	3	0	11	0	141	116	167
ELF2	4828	399	1345	813	387	853	154	343	43	349	140	208	741	133	580	624	44	1007	84	933	0	705	828	889
ELF3	2037	341	10	1	48	11	3	0	0	328	105	738	397	404	22	237	4	501	57	144	0	0	5	3
ELF4	5417	989	76	593	327	710	381	101	9	1116	735	2923	313	528	41	106	1	1563	587	403	1	25	65	90
ELF5	2415	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	8	8
ELFN1	4124	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ELFN2	13118	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	2	0	0
ELK1	2834	924	128	493	229	685	370	206	199	599	45	935	125	715	99	154	244	310	554	375	1370	44	46	32
ELK3	4138	2	1	0	0	0	4	7	0	23	0	43	9	38	0	12	39	1	0	53	0	13	12	20
ELK4	1641	0	0	35	3	0	25	99	32	18	0	101	11	2	39	3	2	3	7	0	0	39	37	46
ELL2	5910	27	4	20	23	119	18	14	2	44	6	14	6	13	19	31	14	52	352	50	2	848	1107	835
ELL3	2110	0	0	0	0	0	32	0	0	0	0	20	0	0	0	0	0	0	0	1	0	6	0	1
ELL	5230	2100	399	2116	104	2725	355	1406	6	2664	364	6447	1026	4866	101	936	89	1217	428	3555	0	66	40	81
ELMO1	4950	0	5	0	19	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	8	16	19
ELMO2	3852	338	396	521	107	453	1	676	1896	468	10	784	1	3	334	1	284	1563	331	453	0	132	147	182
ELMO3	2569	418	14	213	0	0	0	0	0	0	0	0	155	69	0	0	0	16	0	1149	0	7	7	7
ELMOD1	2078	211	0	1	13	31	12	0	0	0	0	31	168	0	51	0	6	169	5	12	0	52	74	54
ELMOD2	5050	272	96	113	40	82	0	36	198	1	31	28	100	51	16	3	1	68	26	87	0	822	555	618
ELMOD3	3047	1	30	256	26	93	0	0	0	208	0	248	55	124	0	1	74	770	579	0	2	47	68	33
ELMSAN1	7725	347	342	376	242	439	123	124	119	146	15	349	5	273	242	198	23	237	241	611	0	420	486	502
ELN	3710	265	1	12	14	63	16	99	19	115	1	258	25	224	0	113	0	173	0	201	0	4	0	4
ELOA	5801	3	408	373	93	113	100	101	0	226	102	37	382	98	54	14	5	498	74	755	1	401	532	570
ELOB	422	12685	13720	13093	7943	14226	7993	6757	8289	4242	2645	1501	6645	1683	8378	4365	1739	8729	13488	10329	19501	2058	2989	3217
ELOC	5190	761	1216	969	362	790	353	1404	523	801	47	306	128	480	337	437	23	958	1647	587	1590	4988	4938	4803
ELOF1	3373	735	1255	1040	803	1895	969	1490	1210	1458	288	568	972	934	1348	142	67	1688	1370	1223	2219	279	382	353
ELOVL1	4633	5035	91	2293	576	2766	162	1607	1	452	256	1904	2552	1030	198	418	29	1969	2061	4281	1439	889	1224	914
ELOVL2	1061	0	0	0	34	0	0	0	0	0	0	3	0	1	0	1	0	0	78	80	0	42	50	37
ELOVL3	1149	0	0	161	0	0	0	0	0	25	0	55	0	122	0	1	0	0	0	0	0	4	15	10
ELOVL4	2074	44	0	2	36	0	0	3	195	343	0	261	44	214	69	132	0	200	10	98	0	17	37	21
ELOVL5	2771	626	202	217	71	72	80	41	0	381	18	509	84	284	53	119	3	481	24	202	0	343	506	656
ELOVL6	4801	2963	2929	3436	1370	2286	563	2519	1418	997	355	604	1147	577	576	348	110	2831	487	2616	155	6350	7485	6528
ELOVL7	3559	0	0	71	1	0	0	0	0	7	0	3	0	0	0	0	0	0	4	0	0	21	27	14
ELP1	5778	5	203	0	58	3	0	189	12	137	0	24	1	12	5	0	1	582	31	163	82	244	297	351
ELP2	2966	214	236	682	47	0	0	358	0	0	104	121	0	7	0	0	8	1552	124	480	0	854	1127	709
ELP3	2903	347	83	2	102	0	0	0	0	112	6	702	0	55	19	11	0	428	216	250	0	368	305	426
ELP4	1866	8	12	117	17	2	0	0	139	110	45	94	0	74	30	62	1	446	27	152	0	278	215	255
ELP5	1384	8326	5781	8313	2167	8124	2169	3959	2681	3472	895	2065	4318	2827	1434	1427	235	6932	6274	9672	4797	1232	1241	1001
ELP6	1583	542	228	543	70	167	98	183	0	168	45	51	1	121	19	263	0	119	330	643	234	177	161	180
ELSPBP1	1669	0	0	0	0	1	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	3	4	1
EMB	6554	0	238	3	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	54	62	55
EMC10	2060	1547	2634	1453	1586	1916	529	650	291	806	309	269	1381	480	746	192	134	717	1181	1056	2661	384	669	647
EMC1	4535	1168	1258	462	319	922	20	130	2	345	30	293	525	25	195	23	69	3809	471	3447	1203	145	286	206
EMC2	1487	475	752	384	15	185	49	0	326	54	126	112	275	48	369	277	12	103	111	464	2	1893	1713	1681
EMC3	1298	1880	224	633	165	161	254	741	96	169	55	724	996	724	107	379	33	1149	259	878	1	784	876	848
EMC4	1053	275	817	1094	190	672	1	651	0	438	1	121	0	123	5	184	25	397	221	601	1406	2072	2148	2269
EMC6	664	3334	5563	3779	2997	7682	3207	6398	5937	6805	1413	1713	4448	1672	4074	3574	465	3115	6012	3832	5186	2374	2749	2331
EMC7	1058	1552	232	1439	393	466	303	946	726	331	31	308	1	184	147	477	1	1075	432	961	1068	1960	1970	1655
EMC8	1372	2210	1245	1607	673	2462	871	1430	447	1991	526	2194	1783	1746	292	1342	81	698	1946	2535	2199	588	688	702
EMC9	1238	790	495	472	149	697	216	678	3	465	195	306	121	336	80	106	2	691	571	376	0	59	67	91
EMCN	1843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	6	24
EMD	1249	6350	1432	2504	843	4449	877	1345	960	1445	621	2034	4025	2007	836	1510	135	3283	3695	5430	2210	359	618	534
EME1	3086	5	0	51	67	83	3	1	9	21	2	89	58	178	100	8	0	127	151	318	0	170	242	309
EME2	4254	2	49	404	75	108	1	352	357	113	0	15	0	55	0	0	0	630	116	72	784	24	31	67
