name	length	Blastocyst_SRR17972766_Rep1_R1	Blastocyst_SRR17972767_Rep1_R1	Blastocyst_SRR17972768_Rep1_R1	Blastocyst_SRR17972769_Rep1_R1	Blastocyst_SRR17972770_Rep1_R1	Blastocyst_SRR17972771_Rep1_R1	Blastocyst_SRR17972772_Rep1_R1	Blastocyst_SRR17972773_Rep1_R1	Blastocyst_SRR17972774_Rep1_R1	Blastocyst_SRR17972775_Rep1_R1	Blastocyst_SRR17972776_Rep1_R1	Blastocyst_SRR17972777_Rep1_R1	Blastocyst_SRR17972778_Rep1_R1	Blastocyst_SRR17972779_Rep1_R1	Blastocyst_SRR17972780_Rep1_R1	Blastocyst_SRR17972781_Rep1_R1	Blastocyst_SRR17972782_Rep1_R1	Blastocyst_SRR17972783_Rep1_R1	Blastocyst_SRR17972784_Rep1_R1	Blastocyst_SRR17972785_Rep1_R1	Blastocyst_SRR17972814_Rep1_R1	Blastocyst_SRR17972815_Rep1_R1	Blastocyst_SRR17972816_Rep1_R1
EXOC3	3849	642	957	364	337	83	521	238	37	371	65	351	382	473	106	203	1	194	56	1	7	173	175	82
EXOC3L1	2815	0	0	0	6	0	0	3	1	3	0	0	0	1	2	105	0	0	0	0	0	4	4	4
EXOC3L2	4867	676	495	370	347	209	563	222	326	424	47	411	395	3	19	4	35	118	84	1	25	105	67	44
EXOC3L4	2707	498	302	388	343	591	445	625	377	179	293	188	359	65	194	106	64	105	117	0	28	25	32	15
EXOC4	4341	0	13	1	50	83	15	66	281	0	0	79	5	3	50	608	3	50	10	0	10	74	121	59
EXOC5	10152	164	15	252	47	84	166	72	189	28	227	27	78	82	93	69	92	76	54	0	46	405	406	248
EXOC6	4067	5	0	6	54	34	31	4	18	80	58	17	7	10	45	122	1	2	11	0	11	141	177	99
EXOC6B	6210	7	57	2	2	16	6	22	175	1	10	54	0	5	0	64	4	1	7	250	5	140	97	35
EXOC7	5016	198	168	42	117	136	227	1	1	1	20	62	399	5	14	62	21	9	9	0	0	56	50	36
EXOC8	2465	4	0	92	114	2	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	41	62	32
EXOG	7073	342	325	111	323	53	269	146	270	133	113	153	239	370	247	10	48	46	75	1	3	132	120	50
EXOSC10	3898	379	354	459	516	302	567	242	193	32	302	73	152	145	99	10	227	6	20	0	9	160	177	154
EXOSC1	1004	1393	761	528	1214	550	718	1413	1160	616	473	488	273	19	5	69	304	322	227	1	36	185	150	146
EXOSC2	3008	213	331	581	476	137	771	14	466	0	193	135	3	103	6	63	167	108	27	293	9	170	190	136
EXOSC3	1095	306	326	350	383	100	466	249	321	1	195	93	116	206	321	293	59	0	10	0	50	58	60	54
EXOSC4	839	3533	3141	2411	3343	3293	4590	1482	3040	1761	1061	465	1053	517	914	176	654	110	230	4	176	227	169	186
EXOSC5	1196	1520	1002	1231	779	1029	1410	766	722	597	422	148	86	486	187	0	56	427	176	1	4	178	173	171
EXOSC6	1291	706	426	389	430	276	300	450	131	143	357	3	223	44	67	68	135	86	124	0	91	151	137	114
EXOSC7	1065	1566	1914	1038	1280	633	1245	531	765	412	324	404	232	0	4	4	317	111	99	1	17	231	186	163
EXOSC8	951	336	100	670	421	475	284	253	162	181	53	129	217	60	57	249	84	18	68	2	25	298	278	174
EXOSC9	1493	433	136	80	193	54	335	7	286	299	54	195	22	76	120	48	59	71	30	0	62	670	595	516
EXT1	3297	142	276	35	127	100	63	59	194	144	316	183	32	625	171	332	90	375	42	4	57	87	76	75
EXT2	4203	460	309	556	400	1102	505	189	288	133	39	81	406	15	117	185	53	52	52	0	63	172	163	99
EXTL1	4247	6	7	0	25	27	6	1	36	0	23	0	0	0	0	42	4	0	0	0	0	29	18	12
EXTL2	3832	9	0	104	0	18	0	38	0	19	1	0	0	45	12	0	5	3	3	0	0	22	31	14
EXTL3	6770	315	580	380	73	14	156	2	210	34	0	176	0	24	0	58	65	48	59	0	1	20	19	44
EYA1	4995	0	4	0	46	0	1	0	257	55	0	0	0	0	0	0	0	119	0	0	0	15	18	11
EYA2	2499	0	0	0	12	0	13	0	0	0	0	0	0	0	0	0	0	7	0	0	0	5	3	3
EYA3	6145	300	160	123	165	1	211	53	14	5	40	1	1	0	6	1	13	83	36	0	10	159	120	84
EYA4	6393	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	15	0	0	0	0	0	1	3
EZH1	5081	69	1	26	6	0	125	1	69	0	0	0	0	0	0	0	0	0	2	0	1	9	21	15
EZH2	2983	4	293	95	115	14	56	134	62	44	56	0	58	83	2	55	85	57	50	0	35	309	269	237
EZR	2831	7651	8096	6353	9573	6915	5780	5247	6288	3489	4323	3111	3102	5648	3121	8563	3920	4772	4429	369	1359	19922	22082	9805
F10	1976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1
F11	2870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
F11R	3245	5760	3098	4189	4635	3625	4115	2307	3189	1714	974	818	956	412	876	998	993	582	477	1226	421	1147	999	851
F12	2396	0	0	0	8	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
F13A1	3897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	9	2
F13B	2185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8
F2	2243	16	16	93	21	0	16	34	28	13	37	0	0	0	0	0	0	0	0	0	0	17	24	15
F2R	3646	0	20	1	37	12	9	90	13	0	0	72	0	0	0	0	0	1	1	0	2	103	79	44
F2RL1	2176	572	244	891	600	554	715	909	628	343	147	398	80	140	397	334	16	66	108	1	12	384	443	147
F2RL2	2864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	5
F2RL3	1588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
F3	1877	0	0	165	103	101	29	9	14	5	0	1	2	39	0	12	197	9	7	0	0	146	87	114
F5	6661	3	5	36	1	0	0	0	4	17	0	0	0	0	0	1	0	17	23	0	4	6	21	5
F7	3402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
F8	8503	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	98	1	0	0	0	16	9	6
F8A1	4890	71	61	52	16	47	13	27	43	2	2	30	39	3	0	8	11	35	47	201	22	65	41	63
F9	2928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FA2H	2690	1111	748	356	1204	821	996	774	1131	557	423	132	949	310	459	814	258	37	254	24	21	227	233	132
FAAH	11840	0	21	4	7	25	65	0	14	1	0	0	0	0	1	0	0	0	0	0	0	10	24	9
FAAP100	3381	0	31	1	65	9	96	3	0	3	55	3	2	0	0	0	5	6	0	0	4	14	11	10
FAAP20	1440	1316	1438	1308	1708	1626	2394	1522	1784	1185	808	695	823	208	915	290	345	203	407	3	149	139	75	73
FAAP24	1370	259	325	718	462	213	570	168	9	23	225	39	203	20	301	391	202	115	97	0	83	110	60	72
FABP12	587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0
FABP1	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FABP2	709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FABP3	684	15823	15381	12722	10571	11752	13556	8997	12449	6689	6716	3228	7788	2742	3656	2428	3638	3775	3485	649	998	1173	998	1276
FABP4	625	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
FABP5	1822	834	357	1082	597	310	420	679	584	14	725	65	439	96	182	280	255	44	63	0	47	479	462	207
FABP6	511	0	30	92	6	47	0	94	61	0	0	0	0	0	0	0	0	7	0	0	2	1	6	1
FABP7	815	1	0	82	28	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	5
FABP9	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FADD	847	4548	4413	4303	5520	4718	6909	3903	6725	3285	3532	1687	3057	858	1631	794	390	803	1025	212	778	446	224	311
FADS1	3728	296	510	698	673	430	741	180	321	107	309	195	197	73	23	0	36	60	24	0	19	54	109	26
FADS2	3641	184	118	216	128	122	259	54	111	124	99	36	85	21	54	132	26	60	4	50	10	57	53	43
FADS3	1805	3560	3120	3030	4403	3248	3681	1875	2737	1628	1136	929	960	134	867	472	806	490	379	7	273	495	503	168
FADS6	1342	0	0	0	14	62	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1
FAF1	2536	191	139	880	62	57	276	158	38	98	137	64	2	6	73	18	26	48	72	231	15	164	159	85
FAF2	2223	157	75	74	105	313	11	8	12	11	45	84	11	43	33	446	69	89	91	20	91	154	168	149
FAH	1446	0	6	2	53	0	49	104	76	0	1	0	1	192	0	141	0	0	81	0	2	11	15	6
FAHD1	1625	24	106	150	116	5	235	1	30	1	0	60	0	37	47	2	7	1	9	0	0	55	58	47
FAHD2A	1339	546	856	778	1379	462	773	0	845	212	287	320	165	109	243	219	32	35	43	5	23	100	109	66
FAIM	1934	0	3	14	16	0	34	0	0	5	0	0	0	2	5	0	0	2	21	0	2	30	40	32
FAIM2	4639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1
FAM101A	2104	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
FAM102A	4702	36	95	175	158	181	148	145	24	172	224	74	38	30	77	11	6	39	28	0	5	17	20	9
FAM102B	5184	0	0	1	0	22	0	0	0	0	0	34	13	8	0	0	0	0	1	0	0	35	21	15
FAM104A	996	799	730	459	488	573	654	606	756	505	402	291	483	842	516	1110	569	732	450	2	106	194	140	221
FAM107A	5966	59	89	147	2	101	58	73	161	34	121	27	67	0	93	14	45	0	1	0	1	14	17	13
FAM107B	3541	5	0	30	109	0	2	0	0	0	0	0	1	0	0	4	15	0	0	0	8	17	1	37
FAM110A	4184	1557	2108	1584	2343	1851	2189	462	2538	2214	668	1178	379	277	1148	207	752	88	157	3	66	152	108	99
FAM110B	4778	0	1	0	41	1	34	0	0	0	0	0	5	162	0	0	104	0	1	92	6	8	12	24
FAM110C	4495	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	35	23	17
FAM110D	2130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
FAM111B	4059	44	5	12	0	0	20	10	0	0	0	0	0	38	37	0	0	2	52	0	10	77	80	45
FAM114A1	4565	0	1	0	51	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	4
FAM114A2	3449	10	20	201	123	107	183	169	100	0	105	272	13	116	36	11	27	53	59	0	111	290	300	217
FAM117A	4563	469	386	158	255	0	512	398	299	0	124	296	198	56	333	320	40	199	16	46	34	106	78	111
FAM117B	5499	88	28	5	59	50	127	44	91	116	60	38	55	259	133	202	209	2	86	1	52	113	81	57
FAM118A	3540	458	180	1134	283	434	209	175	538	28	567	30	110	43	142	208	47	73	225	0	36	156	162	84
FAM118B	1943	20	66	192	300	21	283	57	147	311	34	196	96	94	77	363	130	88	195	1	20	97	87	122
FAM120A	5026	402	215	524	397	397	797	336	763	79	135	183	227	467	151	96	156	139	156	3	60	932	955	554
FAM120B	20175	304	20	156	0	17	129	36	4	0	92	4	6	0	0	26	7	51	25	0	0	148	152	74
FAM120C	7925	2	7	35	103	4	105	6	0	4	0	0	17	85	11	139	76	2	17	24	17	83	74	40
FAM122A	1642	124	110	256	151	14	99	80	22	366	21	25	359	1	0	30	1	1	46	0	55	39	69	40
FAM122B	4371	144	19	97	11	46	167	63	52	19	11	22	13	19	122	66	22	29	44	0	0	205	214	56
FAM124A	4941	23	86	225	127	251	53	31	171	0	3	174	45	271	1	463	104	14	70	0	4	15	36	22
FAM124B	3783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	3	11
FAM126A	6262	43	54	158	157	233	147	181	2	208	237	31	14	7	7	28	27	66	71	10	16	449	519	144
FAM126B	14645	30	49	47	208	16	68	21	318	130	109	58	141	40	72	124	235	81	71	4	39	305	294	220
FAM129A	6833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	5
FAM129B	3855	0	0	0	3	21	0	0	0	0	0	0	0	0	63	0	1	0	0	0	0	0	2	5
FAM129C	2994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	11	5	6	3
FAM131A	2967	8	283	178	68	92	211	123	142	7	17	0	149	0	0	0	66	65	19	0	5	27	21	11
FAM131B	4101	29	2	0	7	1	64	0	0	0	0	0	0	0	25	2	0	0	0	0	0	8	9	15
FAM131C	1492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
FAM133A	3727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	14
FAM133B	2502	130	75	223	147	154	315	259	132	118	278	193	131	131	92	86	95	38	121	223	104	538	533	547
FAM135A	7180	115	61	29	34	123	70	41	10	88	30	254	48	33	11	2	48	26	8	0	11	234	234	136
FAM135B	13708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	9	5
FAM136A	1762	6742	3248	5327	4518	3426	5289	4614	3649	2535	3725	889	2438	1099	965	2011	1101	696	747	5	240	720	631	496
FAM13A	7425	0	30	0	0	0	10	0	4	0	0	161	0	0	10	0	9	34	0	0	12	26	32	25
FAM13B	5844	75	17	344	105	44	156	184	377	1	84	0	27	3	0	0	22	21	6	0	1	208	146	81
FAM13C	3792	0	71	0	14	0	0	0	59	0	12	0	0	0	3	0	0	0	0	0	4	23	26	28
FAM149A	4242	0	53	0	23	2	105	0	0	0	0	0	0	0	0	141	0	0	0	0	1	16	19	30
FAM149B1	2353	99	174	184	135	34	113	88	134	27	60	10	7	0	0	0	8	0	52	0	0	157	192	83
FAM151A	1968	5857	6194	5923	7154	6588	7036	5000	5019	2976	2528	1254	1486	311	1196	1090	725	472	384	130	206	95	75	80
FAM151B	2913	59	0	100	58	0	2	0	12	49	0	3	13	1	24	29	21	19	17	0	4	64	67	30
FAM155A	3713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	1
FAM155B	4002	0	0	0	27	7	3	22	0	0	0	0	0	0	3	0	0	0	1	0	0	6	4	1
FAM160A1	4807	30	64	17	30	310	11	1	89	105	4	21	13	0	0	0	0	35	42	0	0	72	65	62
FAM160A2	12265	1081	753	1451	1181	1165	784	238	700	24	90	359	852	238	351	18	300	0	119	0	8	211	212	144
FAM160B1	2886	72	37	56	130	39	49	29	92	8	143	6	1	19	104	0	11	4	28	0	2	104	120	42
FAM160B2	4143	2	31	0	18	125	243	12	1	0	72	0	18	0	2	0	1	27	6	1	9	61	45	32
FAM161A	2798	0	25	29	5	0	1	29	52	0	0	0	30	75	5	2	43	13	17	0	1	132	99	217
FAM161B	5187	21	22	1	2	0	4	1	2	0	3	0	3	0	0	4	3	43	4	0	0	22	14	11
FAM162A	667	2251	1577	1862	1644	662	1123	706	1080	855	997	150	299	122	284	590	370	134	392	1	55	403	320	227
FAM162B	2126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2
FAM163A	4110	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	32	0	0	0	0	0	3	2
FAM163B	2655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
FAM166A	1295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1
FAM166B	2998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3
FAM167A	4466	0	67	0	6	0	62	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
FAM167B	964	427	405	130	171	408	281	369	123	291	208	145	56	0	133	3	101	110	0	1	1	28	18	42
FAM168A	7352	4	3	1	62	25	40	0	46	144	0	9	0	3	0	0	57	11	41	0	0	53	82	46
FAM168B	5568	186	197	532	331	233	796	426	494	161	479	114	277	281	259	137	290	106	87	1767	23	433	459	260
FAM169A	6562	256	643	607	469	105	266	258	426	403	106	553	30	469	201	490	308	483	287	4	61	1405	1422	591
FAM169B	1062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3
FAM170A	1873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
FAM170B	6183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
FAM171A1	4346	0	0	0	0	0	0	0	10	0	0	3	0	0	29	0	64	0	0	0	19	8	11	3
FAM171A2	3199	0	0	0	5	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
FAM171B	5701	2	0	0	42	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	12	7
FAM172A	5196	68	33	137	73	140	24	52	67	7	307	105	148	352	27	0	20	28	75	0	11	279	320	190
FAM173A	890	2303	2815	2537	3498	4104	4312	3039	4917	2134	3990	1297	1414	726	663	489	654	226	513	343	572	368	260	242
FAM173B	9111	213	126	745	303	192	667	432	387	70	602	56	107	12	137	200	76	253	263	83	8	232	255	97
FAM174A	2543	47	31	27	77	47	26	6	36	1	45	14	22	63	28	4	6	10	36	0	42	182	175	114
FAM174B	1983	10	11	21	42	15	8	74	32	60	0	0	11	0	7	0	11	1	20	0	6	17	5	3
FAM177A1	2627	208	144	555	553	305	364	252	217	72	645	182	165	151	199	472	279	182	42	540	47	390	463	257
FAM177B	2693	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	7	3	10
FAM178B	2612	0	0	107	1	17	55	0	1	0	0	2	0	0	0	0	175	0	38	1	0	1	7	4
FAM180A	5636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0
FAM180B	1265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3
FAM181A	1781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FAM181B	1856	25	77	42	63	48	1	20	68	69	120	0	134	111	0	7	0	4	4	16	5	25	10	10
FAM183A	1476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
FAM184A	5788	0	0	0	43	1	10	2	0	0	6	0	0	21	0	0	0	0	0	0	0	60	40	34
FAM184B	9811	274	20	322	55	875	89	452	8	93	136	1	43	48	9	2	27	2	32	0	3	485	522	222
FAM185A	4311	88	1	0	74	0	0	50	1	0	205	0	0	0	0	61	159	0	0	0	0	36	25	25
FAM186A	8244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	5
FAM186B	4501	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0	3	6	1
FAM187A	3864	0	0	0	0	0	0	0	0	0	0	0	0	1	0	571	0	1	0	1	0	6	0	0
FAM187B	2185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	3
FAM189A1	5745	81	311	149	292	15	20	61	16	7	50	149	127	0	2	0	14	69	41	0	3	72	48	22
FAM189A2	2574	7	0	227	20	0	1	0	32	0	0	0	14	0	0	0	8	0	68	0	0	12	16	11
FAM189B	3305	0	70	283	132	94	167	18	299	33	79	33	183	26	195	10	93	0	43	0	2	58	44	50
FAM192A	6151	101	316	1083	477	476	258	622	366	257	36	120	224	404	5	73	43	110	343	0	139	215	231	160
FAM193A	4803	10	16	14	84	56	90	5	165	42	10	66	35	66	145	24	97	32	38	0	111	63	45	52
FAM193B	4324	50	178	61	268	336	40	1	237	27	14	2	125	158	6	0	27	49	19	2	11	71	61	58
FAM196A	7142	0	53	0	0	0	0	0	0	0	2	0	0	61	46	128	156	83	68	0	0	24	45	21
FAM196B	2143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FAM198A	2445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FAM198B	2275	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1
FAM199X	1589	0	13	3	0	58	3	32	84	0	0	0	0	83	14	0	0	0	0	0	3	0	1	2
FAM19A1	1817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
FAM19A2	3994	8	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	0	0	6	2	11
FAM19A3	8041	268	167	391	182	329	194	16	341	6	1	0	441	159	174	0	2	28	95	0	2	13	35	15
FAM19A4	2459	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	8	8	1
FAM19A5	2821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2
FAM200A	3560	0	1	0	114	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	6	23	0
FAM204A	1248	367	197	1341	653	588	807	928	564	614	630	106	561	261	340	613	260	208	179	3	20	430	463	357
FAM205A	4344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	8
FAM205C	2652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FAM206A	1506	22	197	578	186	271	279	186	187	8	479	213	4	14	46	0	761	4	16	0	46	208	189	71
FAM207A	5536	598	583	991	949	778	1053	515	1088	542	443	44	235	0	139	6	71	57	64	0	8	133	88	85
FAM208A	8044	196	91	310	296	209	437	43	179	27	154	12	54	132	24	238	72	116	96	0	130	327	307	219
FAM208B	10063	13	34	10	74	3	10	2	0	58	34	58	0	14	1	60	0	50	0	0	0	144	106	51
FAM209A	632	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0
FAM20A	3064	0	0	0	1	0	0	0	0	0	0	52	0	0	0	0	0	28	0	0	0	1	5	4
FAM20B	6060	250	284	582	215	193	361	561	153	429	224	68	55	63	29	50	154	15	177	0	20	334	421	234
FAM20C	3339	183	237	145	493	92	185	4	198	53	166	78	4	2	184	9	3	40	4	0	67	52	46	30
FAM210A	3805	225	344	286	336	261	318	96	357	84	376	26	201	92	170	103	171	134	181	0	149	163	146	109
FAM210B	2891	4	122	239	56	25	84	294	119	20	127	61	0	94	2	14	0	1	8	0	28	108	140	73
FAM212A	1021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM212B	1457	146	0	68	1	0	0	0	0	0	0	95	0	194	26	0	0	0	49	0	0	3	2	5
FAM213A	1864	233	97	527	426	299	178	353	360	127	192	3	0	147	97	17	0	70	134	0	5	630	643	378
FAM213B	811	3266	3174	3481	2933	4488	4945	3707	2824	1689	1312	630	1109	524	475	342	477	221	316	1	285	193	135	122
FAM214A	5651	0	37	17	15	0	12	1	16	33	8	3	9	0	4	29	15	22	15	0	7	91	83	38
FAM214B	5522	826	302	140	146	381	364	506	75	139	331	83	92	0	183	511	128	59	167	0	28	36	57	28
FAM216A	3165	0	0	1	67	0	23	1	0	189	0	0	0	0	0	0	0	1	6	0	0	11	16	5
FAM216B	1425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM217A	2647	0	0	0	9	0	1	189	0	0	43	0	0	0	0	0	0	0	0	0	0	59	31	37
FAM217B	6046	8	1	0	0	0	0	0	1	0	1	0	0	0	0	0	4	0	4	0	0	4	13	7
FAM219A	3686	9	54	7	37	74	62	58	209	0	18	10	95	1	0	15	60	30	5	0	0	44	37	31
FAM219B	3180	296	1035	724	1345	369	969	1118	895	1134	413	414	770	295	512	571	865	6	146	25	19	226	233	159
FAM21A	4303	105	11	270	303	16	8	176	181	15	83	138	20	84	165	333	22	183	128	180	56	537	569	399
FAM221A	5867	2	0	204	102	259	38	2	2	10	10	0	141	0	1	0	0	76	2	0	245	43	65	35
FAM221B	3303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0
FAM222A	3951	106	29	0	24	1	0	0	0	1	0	0	0	81	63	0	17	1	0	0	0	22	14	10
FAM222B	5787	1107	315	535	454	747	864	263	877	594	755	667	740	636	1174	789	284	306	289	0	74	291	249	267
FAM227A	2421	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2
FAM227B	2030	0	0	0	11	0	73	0	16	0	3	0	0	51	0	0	0	1	3	0	0	6	3	1
FAM228A	1291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0
FAM228B	1298	0	15	14	0	5	44	0	0	0	1	0	0	15	34	2	2	0	0	0	16	40	52	25
FAM229A	714	11	8	9	27	6	11	83	29	0	14	0	6	0	0	0	30	0	0	0	0	2	1	1
FAM229B	810	0	89	96	31	50	79	2	21	273	144	0	0	0	0	0	0	0	0	0	6	26	11	5
FAM234A	2758	3750	5004	4365	5118	4533	5210	2472	3064	2859	2155	747	984	972	1001	813	782	841	674	2	559	613	436	283
FAM234B	5395	674	1125	1108	860	681	508	643	451	315	667	596	292	510	203	10	479	153	47	11	8	193	194	192
FAM237A	552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FAM240A	3772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3
FAM241A	2494	0	0	17	6	21	0	2	0	8	5	0	0	0	14	93	0	3	4	0	0	179	146	103
FAM241B	1182	283	296	143	310	197	357	152	271	352	195	226	101	547	73	130	216	112	47	28	81	88	74	56
FAM24A	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM25A	3483	4	11	64	8	0	99	0	34	4	21	13	0	0	0	0	4	6	36	0	17	8	23	9
FAM32A	1430	754	343	1190	607	427	717	482	487	562	511	75	685	545	77	107	367	108	292	25	74	715	626	560
FAM3A	1452	94	784	323	632	313	375	101	351	308	354	330	73	231	208	20	3	171	67	1	16	33	47	48
FAM3B	2730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0
FAM3C	3271	51	18	130	25	0	30	109	126	14	4	4	1	1	1	3	84	60	10	0	4	210	252	114
FAM3D	1593	0	0	50	0	39	15	11	107	6	0	0	55	0	0	0	0	0	0	0	0	1	3	1
FAM43A	3153	0	211	374	263	320	202	64	541	242	568	493	1146	283	336	434	327	355	320	2	140	15	8	32
FAM43B	3972	416	778	272	685	770	246	518	311	174	291	101	120	307	487	355	317	334	202	1	54	359	247	251
FAM45A	2530	211	280	554	545	321	226	315	344	187	448	279	227	43	409	68	600	115	83	1	50	168	172	118
FAM46A	5695	29	54	5	25	15	1	51	2	0	0	2	5	0	19	0	6	15	14	0	0	14	58	13
FAM46B	2333	1676	4037	1580	3376	1397	2984	1483	3983	1322	1530	464	2273	463	948	514	1040	789	633	41	512	346	315	181
FAM46D	2928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	4
FAM47E	2493	0	9	45	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	28	26	21	22
FAM49A	1928	2	52	35	0	184	9	4	154	8	0	0	5	0	4	0	0	0	0	0	3	12	24	4
FAM49B	3162	295	24	515	456	197	527	611	292	166	463	138	142	16	5	199	168	181	243	156	93	660	620	332
FAM50A	1504	237	207	74	274	127	156	307	192	51	126	10	23	183	72	549	37	88	229	2	43	439	439	406
FAM53A	3568	7	57	22	22	81	13	0	19	28	147	0	0	0	3	10	12	0	0	0	0	2	4	2
